ID,Username,Age,Email,PhoneNumber,Password
1,admin01,34,admin01@gmail.com,9876543210,pass@123
2,admin02,29,admin02@gmail.com,9876543211,admin@456
3,admin03,40,admin03@gmail.com,9876543212,secure@789
4,admin04,31,admin04@gmail.com,9876543213,alpha@321
5,admin05,36,admin05@gmail.com,9876543214,beta@654
6,admin06,28,admin06@gmail.com,9876543215,charlie@987
7,admin07,45,admin07@gmail.com,9876543216,delta@741
8,admin08,38,admin08@gmail.com,9876543217,echo@852
9,admin09,33,admin09@gmail.com,9876543218,foxtrot@963
10,admin010,30,admin010@gmail.com,9876543219,golf@159
